System,Domain,Task,Authors,Notability criteria,Notability criteria notes,Open-source,Link,Citations,Reference,Publication date,Organization,Parameters,Parameters notes,Training compute (FLOP),Training compute notes,Training dataset,Training dataset notes,Training dataset size (datapoints),Dataset size notes,Epochs,Inference compute (FLOP),Inference compute notes,Training time (hours),Training time notes,Training hardware,Approach,Training compute cost (2020 USD),Compute cost notes,Compute sponsor categorization,Confidence,Abstract,Last modified,Created By,Benchmark data,Exclude,Country (from Organization),Base model,Finetune compute (FLOP),Finetune compute notes,Hardware quantity,Hardware utilization,Training cost trends,Training cloud compute vendor,Training data center,Archived links,Batch size,Batch size notes,Organization categorization,Foundation model,Training compute lower bound,Training compute upper bound,Training chip-hours
Mitosis,"Vision,Medicine",,"Dan C. Cireşan, Alessandro Giusti, Luca M. Gambardella, Jürgen Schmidhuber",Highly cited,ICPR 2012 mitosis detection competition winner,,https://link.springer.com/chapter/10.1007/978-3-642-40763-5_51,1457.00,Mitosis Detection in Breast Cancer Histology Images with Deep Neural Networks,2013-09-22,IDSIA,37230.00,Sum numbers of weights in Table 1.b,137000000000000000.00,"""Training each network requires one day of computation with an optimized GPU
implementation""

Assuming 1.58E+12 FLOP/second on FP32 (from the table in the Estimating compute post), we get

3600*24*1.58E+12 = 1.37E+17 FLOP",,,1000000,"The dataset is built in two stages. First a classifier is trained on small sample, and used to curate a more representative larger dataset.

The final dataset has 1M instances

""We build the actual training set, composed by 1 million instances, which includes
all mitosis pixels (6.6% of the training instances). The remaining 95.4% is sampled
from non-mitosis pixels by assigning to each pixel p a weight D(p).""",,,,,,,,$2.00,,Academia,,,2024-02-21 22:27,Robi Rahman,,,Switzerland,,,,,,,,,,,,Academia,,,,0
RNN+weight noise+dynamic eval,Language,,Alex Graves,Highly cited,,,https://arxiv.org/abs/1308.0850,4734.00,Generating Sequences With Recurrent Neural Networks,2013-08-04,University of Toronto,54000000.00,,4210000000000000.00,,,,,,14.00,,,,,,,,,,,,2024-01-22 14:05,Robi Rahman,RNN+weight noise+dynamic eval,,Canada,,,,,,,,,,,,Academia,,,,0
Image Classification with the Fisher Vector: Theory and Practice,Vision,Image classification,"orge Sanchez, Florent Perronnin, Thomas Mensink, Jakob Verbeek",Highly cited,,,https://hal.inria.fr/hal-00830491v2/document,1707.00,Image Classification with the Fisher Vector: Theory and Practice,2013-06-12,"Universidad Nacional de Cordoba,Inteligent Systems Lab Amsterdam,University of Amsterdam,LEAR Team,INRIA,Xerox Research Centre Europe (XRCE)",,,90842400000000.00,"They use a Intel Xeon E5-2470 Processor for 2 hours. This can do 12,617 MOps/Sec 
https://www.cpubenchmark.net/cpu.php?cpu=Intel+Xeon+E5-2470+%40+2.30GHz&id=2003",ImageNet,,,,,,,2.0,,,,$0.00,,,,,2024-02-02 18:27,Robi Rahman,,,"Argentina,Netherlands,Netherlands,France,France,France",,,,,,,,,,,,"Academia,Academia,Academia,Academia,Industry",,,,0
SemVec,Language,,"T Mikolov, W Yih, G Zweig",Highly cited,,,https://www.aclweb.org/anthology/N13-1090/,3625.00,Linguistic Regularities in Continuous Space Word Representations,2013-06-09,Microsoft Research,,,,,,,,,,,,,,,,,,Industry,,,2024-01-11 12:05,Robi Rahman,,,United States of America,,,,,,,,,,,,Industry,,,,0
SearchFusion,Vision,Object detection,"JRR Uijlings, KEA Van De Sande, T Gevers",Highly cited,,,https://link.springer.com/article/10.1007/s11263-013-0620-5,5642.00,Selective search for object recognition,2013-04-02,"University of Trento,University of Amsterdam",,,,,,,,,,,,,,,,,,Academia,,,2024-02-01 10:08,Robi Rahman,,,"Italy,Netherlands",,,,,,,,,,,,"Academia,Academia",,,,0
PreTrans-3L-250H,Speech,Speech recognition,"Alex Graves, Abdel-rahman Mohamed, Geoffrey Hinton",Highly cited,,,https://arxiv.org/abs/1303.5778,8015.00,Speech Recognition with Deep Recurrent Neural Networks,2013-03-22,University of Toronto,43000000.00,Table 1,,,,,,,,,,,,,,,,Academia,,,2024-02-01 09:49,Robi Rahman,,,Canada,,,,,,,,,,,,Academia,,,,0
Maxout Networks,Vision,Image classification," Ian J. Goodfellow, David Warde-Farley, Mehdi Mirza, Aaron Courville, Yoshua Bengio",Highly cited,,,https://arxiv.org/abs/1302.4389,2576.00,Maxout Networks ,2013-02-18,University of Montreal,,,,,,,,,,,,,,,,,,Academia,,,2024-01-29 15:22,Robi Rahman,,,Canada,,,,,,,,,,,,Academia,,,,0
Textual Imager,Vision,Object recognition,"R Socher, M Ganjoo, H Sridhar, O Bastani",Highly cited,,,https://arxiv.org/abs/1301.3666,1376.00,Zero-Shot Learning Through Cross-Modal Transfer,2013-01-16,Stanford University,,,,,,,,,,,,,,,,,,Academia,,,2024-02-01 09:57,Robi Rahman,,,United States of America,,,,,,,,,,,,Academia,,,,0
RNN (SGD+CLR),Audio,,"Yoshua Bengio, Nicolas Boulanger-Lewandowski and Razvan Pascanu",,,,https://arxiv.org/abs/1212.0901,647.00,Advances in Optimizing Recurrent Networks,2012-12-14,Université de Montréal,195600.00,"It uses 400 hidden units (selected via hyperparameter tuning)
The input size is 88 (corresponding to the 88 piano pitches)
It uses rectified linear units, so no activation function parameters
So the number of parameters would be:
Input to hidden weights: 88 * 400 = 35,200
Hidden to hidden weights: 400 * 400 = 160,000
Biases: 400
Total: ~195,600 parameters
Above estimate is by Claude 2. Should be checked manually.",,,,"""We evaluate our models on the four polyphonic music datasets of varying complexity used in [25]: classical piano music (Pianomidi.de), folk tunes with chords instantiated from ABC notation (Nottingham), orchestral music (MuseData) and the four-part chorales by J.S. Bach (JSB chorales)""",,,,,,,,,,,,,Speculative,"After a more than decade-long period of relatively little research activity in the area of recurrent neural networks, several new developments will be reviewed here that have allowed substantial progress both in understanding and in technical solutions towards more efficient training of recurrent networks. These advances have been motivated by and related to the optimization issues surrounding deep learning. Although recurrent networks are extremely powerful in what they can in principle represent in terms of modeling sequences, their training is plagued by two aspects of the same issue regarding the learning of long-term dependencies. Experiments reported here evaluate the use of clipping gradients, spanning longer time ranges
with leaky integration, advanced momentum techniques, using more powerful output probability models, and encouraging sparser gradients to help symmetry breaking and credit assignment. The experiments are performed on text and music data and show off the combined effects of these techniques in generally improving both training and test error",2024-03-05 07:43,Anonymous,,,Canada,,,,,,,,,,,,Academia,,,,0
RNN (SGD+CLR) (PTB),Language,,"Yoshua Bengio, Nicolas Boulanger-Lewandowski, Razvan Pascanu",,,,https://arxiv.org/abs/1212.0901,665.00,Advances in Optimizing Recurrent Networks,2012-12-04,University of Montreal,2050000.00,,,,,,,,,,,,,,,,,,,,2024-03-05 07:31,Robi Rahman,RNN (SGD+CLR) (PTB),,Canada,,,,,,,,,,,,Academia,,,,0
Bayesian automated hyperparameter tuning,Other,,"J Snoek, H Larochelle, RP Adams",Highly cited,,,https://arxiv.org/abs/1206.2944,6646.00,Practical Bayesian optimization of machine learning algorithms,2012-12-02,"University of Toronto,University of Sherbrooke,Harvard University",,,,,,,,,,,,,,,,,,Academia,,,2024-03-01 09:19,Robi Rahman,,,"Canada,Canada,United States of America",,,,,,,,,,,,"Academia,Academia,Academia",,,,0
RNN+LDA+KN5+cache,Language,,"Tomas Mikolov, Geoffrey Zweig",SOTA improvement,"""We report perplexity results on the Penn Treebank data, where we achieve a new state-of-the-art""",,https://www.microsoft.com/en-us/research/wp-content/uploads/2016/02/rnn_ctxt.pdf,716.00,Context dependent recurrent neural network language model,2012-12-01,"Microsoft,Brno University of Technology",9000000.00,,,,Penn TreeBank,,,,,,,,,,,,,,,,2024-02-21 22:23,Robi Rahman,RNN+LDA+KN5+cache,,"Multinational,Czechia",,,,,,,,,,,,"Industry,Academia",,,,0
RNN+LDA,Language,,,,,,,,,2012-12-01,,,,,,,,,,,,,,,,,,,,Unverified,,2024-01-11 12:05,Robi Rahman,RNN+LDA,1,,,,,,,,,,,,,,,,,0
RNN+LSA+KN5+cache (model combination w/ linear extrapolation),Language,,,,,,,,,2012-12-01,,,,,,,,,,,,,,,,,,,,Unverified,,2024-01-11 12:05,Robi Rahman,RNN+LSA+KN5+cache (model combination w/ linear extrapolation),1,,,,,,,,,,,,,,,,,0
RNN,Language,,,,,,,,,2012-12-01,,,,,,,,,,,,,,,,,,,,Unverified,,2024-01-11 12:05,Robi Rahman,RNN,1,,,,,,,,,,,,,,,,,0
AlexNet,Vision,Image classification,"Alex Krizhevsky, Ilya Sutskever, Geoffrey Hinton",Highly cited,,,https://proceedings.neurips.cc/paper/2012/hash/c399862d3b9d6b76c8436e924a68c45b-Abstract.html,105968.00,ImageNet Classification with Deep Convolutional Neural Networks,2012-09-30,University of Toronto,60000000.00,"""Our neural network architecture has 60 million parameters.""",470000000000000000.00,"1.2M images * 90 epochs * 0.75 GFLOP * (2 add-multiply) * (3 backward pass) 
= 470 PF = 0.0054 pfs-days

Source: https://openai.com/blog/ai-and-compute/",ImageNet,,1200000,"""ImageNet is a dataset of over 15 million labeled high-resolution images belonging to roughly 22,000 categories. The images were collected from the web and labeled by human labelers using Amazon’s Mechanical Turk crowd-sourcing tool. Starting in 2010, as part of the Pascal Visual Object Challenge, an annual competition called the ImageNet Large-Scale Visual Recognition Challenge (ILSVRC) has been held. ILSVRC uses a subset of ImageNet with roughly 1000 images in each of 1000 categories. In all, there are roughly 1.2 million training images, 50,000 validation images, and 150,000 testing images.""",,,,,,NVIDIA GeForce GTX 580,,$8.00,,Academia,,,2024-03-01 09:09,Robi Rahman,,,Canada,,,,,,,,,,,,Academia,,,,0
LSTM-300units,Language,,"Martin Sundermeyer, Ralf Schlüter, Hermann Ney",Highly cited,,,http://www.quaero.org/media/files/bibliographie/sundermeyer_lstm_neural_interspeech2012.pdf,2503.00,LSTM Neural Networks for Language Modeling,2012-09-01,RWTH Aachen,12000000.00,,,,,,,,,,,,,,,,,,,,2024-01-11 12:05,Robi Rahman,LSTM-300units,,Germany,,,,,,,,,,,,Academia,,,,0
Context-dependent RNN,Language,Language modelling,"Tomas Mikolov, Geoffrey Zweig",SOTA improvement,New SOTA perplexity on PTB,,https://www.microsoft.com/en-us/research/wp-content/uploads/2012/07/rnn_ctxt_TR.sav_.pdf,707.00,Context Dependent Recurrent Neural Network Language Model,2012-07-27,"Microsoft Research,Brno University of Technology",,,,,,,,,,,,,,,,,,Industry,Speculative,"Recurrent neural network language models (RNNLMs) have recently demonstrated state-of-the-art performance across a variety of tasks. In this paper, we improve their performance by providing a contextual real-valued input vector in association with each word. This vector is used to convey contextual information about the sentence being modeled. By performing Latent Dirichlet Allocation using a block of preceding text, we achieve a topic-conditioned RNNLM. This approach has the key advantage of avoiding the data fragmentation associated with building multiple topic models on different data subsets. We report perplexity results on the Penn Treebank data, where we achieve a new state-of-the-art. We further apply the model to the Wall Street Journal speech recognition task, where we observe 
improvements in word-error-rate.",2024-02-21 22:23,Anonymous,,,"United States of America,Czechia",,,,,,,,,,,,"Industry,Academia",,,,0
MV-RNN,Language,Text classification,"R. Socher, B. Huval, C. D. Manning, and A. Y. Ng",Highly cited,,,https://www.aclweb.org/anthology/D12-1110/,1459.00,Semantic Compositionality through Recursive Matrix-Vector Spaces,2012-07-12,Stanford University,3510255.00,"""We represent a word as both a continuous vector and a matrix of parameters. We initialize all word vectors x ∈ Rn with pre-trained 50-dimensional word vectors from the unsupervised model of Collobert and Weston (2008). [...] Every word is also associated with a matrix X.  [...] If the vectors have dimensionality n, then each word’s matrix has dimensionality X ∈ Rn×n.""

""We propose the following combination function which is input dependent:
p = fA,B(a, b) = f(Ba, Ab) = g(W x (Ba Ab)) ,(2)
where A, B are matrices for single words, the global W ∈ Rn×2n is a matrix that maps both transformed words back into the same n-dimensional space.""

""For computing nonterminal phrase matrices, we define the function
P = fM(A, B) = WMA, B, (3)
where WM ∈ Rn×2n, so P ∈ Rn×n just like each input matrix.""

""If every word is represented by an n-dimensional vector and additionally by an n × n matrix, the dimensionality of the whole model may become too large with commonly used vector sizes of n = 100. In order to reduce the number of parameters, we represent word matrices by the following low-rank plus diagonal approximation: A = UV + diag(a), (5)
where U ∈ Rn×r, V ∈ Rr×n, a ∈ Rnand we set the rank for all experiments to r = 3.""

""We train these representations by adding on top of each parent node a simple softmax classifier
to predict a class distribution over, e.g., sentiment or relationship classes: d(p) = softmax(Wlabelp). If there are K labels, then d ∈ RK is a K-dimensional multinomial distribution""

In total there are V*(n+n*r + r*n) + n*2n + n*2n + (n+1)*k parameters, where n is the vector dimension, r is the low-rank decomposition dimension, V is the vocabulary size and k is the number of classes.

In the experiments we have that n=50, r=3, k=? and V=?. I'm guesstimating k=5 and V=10k.",,,,,,,,,,,,,,,,Academia,,,2024-01-11 12:07,Robi Rahman,,,United States of America,,,,,,,,,,,,Academia,,,,0
Unsupervised High-level Feature Learner,Vision,Image classification,"Quoc V. Le, Marc'Aurelio Ranzato, Rajat Monga, Matthieu Devin, Kai Chen, Greg S. Corrado, Jeff Dean, Andrew Y. Ng","Highly cited,SOTA improvement","""we trained our network to obtain 15.8% accuracy in recognizing 20,000 object categories from ImageNet, a leap of 70% relative improvement over the previous state-of-the-art""",,https://arxiv.org/abs/1112.6209,2909.00,Building High-level Features Using Large Scale Unsupervised Learning,2012-07-12,Google,1000000000.00,"""To answer this, we train a 9-layered locally connected sparse autoencoder with pooling and local contrast normalization on a large dataset of images (the model has 1 billion connections, the dataset has 10 million 200x200 pixel images downloaded from the Internet)""",600000000000000000.00,"Assuming 1 epoch, 10 million images and 1 billion parameters, 6*N*D = 6*10^17 FLOP",,10 million 200x200 images extracted from Youtube videos,10000000,10 million 200x200 images extracted from Youtube videos,,,,72.0,"""We train this network using model parallelism and asynchronous SGD on a cluster with 1,000 machines (16,000 cores) for three days. """,,Unsupervised,,Hardware not reported,Industry,Likely,"We consider the problem of building high-level, class-specific feature detectors from only unlabeled data. For example, is it possible to learn a face detector using only unlabeled images using unlabeled images? To answer this, we train a 9-layered locally connected sparse autoencoder with pooling and local contrast normalization on a large dataset of images (the model has 1 billion connections, the dataset has 10 million 200×200 pixel images downloaded from the Internet). We train this network using model parallelism and asynchronous SGD on a cluster with 1,000 machines (16,000 cores) for three days. Contrary to what appears to be a widely-held intuition, our experimental results reveal that it is possible to train a face detector without having to label images as containing a face or not. Control experiments show that this feature detector is robust not only to translation but also to scaling and out-of-plane rotation. We also find that the same network is sensitive to other high-level concepts such as cat faces and human bodies. Starting with these learned features, we trained our network to obtain 15.8% accuracy in recognizing 20,000 object categories from ImageNet, a leap of 70% relative improvement over the previous state-of-the-art.",2024-02-21 22:25,Anonymous,,,Multinational,,,,,,,,,,,,Industry,,,,0
