System,Domain,Task,Authors,Notability criteria,Notability criteria notes,Open-source,Link,Citations,Reference,Publication date,Organization,Organization categorization,Parameters,Parameters notes,Training compute (FLOP),Training compute notes,Training dataset,Training dataset notes,Training dataset size (datapoints),Dataset size notes,Epochs,Inference compute (FLOP),Inference compute notes,Training time (hours),Training time notes,Training hardware,Name of the hardware (from Training hardware),Approach,Training compute cost (2020 USD),Compute cost notes,Compute sponsor categorization,Confidence,Abstract,Last modified,Created By,Benchmark data,Exclude,Country (from Organization),Organization (from Organization),Base model,Finetune compute (FLOP),Finetune compute notes,Authors by country,Hardware quantity,Hardware utilization,Training cost trends
ALVINN,Driving,,DA Pomerleau,Highly cited,,,https://proceedings.neurips.cc/paper/1988/hash/812b4ba287f5ee0bc9d43bbf5bbe87fb-Abstract.html,1863.00,ALVINN: an autonomous land vehicle in a neural network,1989-12-01,Carnegie Mellon University (CMU),Academia,3994.00,http://www.cs.cmu.edu/afs/cs.cmu.edu/academic/class/15782-f06/slides/alvinn.pdf,81187041441.21,Extracted from AI and Compute (https://openai.com/blog/ai-and-compute/) charts by using https://automeris.io/WebPlotDigitizer/.,Road snapshots,,1200,"""Training involves first creating a set of 1200 road snapshots depicting roads with a wide variety of retinal orientations and positions, under a variety of lighting conditions and with realistic noise levels""",,,,,,,,,,,Academia,,,2023-12-05 04:33,Robi Rahman,,,United States of America,Carnegie Mellon University (CMU),,,,ALVINN,,,
MADALINE III,,,"B Widrow, M. A. Lehr",Highly cited,,,https://ieeexplore.ieee.org/document/58323,3013.00,"30 years of adaptive neural networks: perceptron, madaline, and backpropagation",1990-09-01,Stanford University,Academia,,,,,,,,,,,,,,,,,,,Academia,,,2023-11-26 03:25,Robi Rahman,,,United States of America,Stanford University,,,,MADALINE III,,,
MLP as Bayesian Approximator,,,D.W. Ruck & S.K. Rogers & M. Kabrisky & M.E. Oxley & B.W. Suter,Highly cited,,,https://ieeexplore.ieee.org/abstract/document/80266,1046.00,The multilayer perceptron as an approximation to a Bayes optimal discriminant function,1990-12-01,Air Force Institute of Technology,Academia,,,,,,,,,,,,,,,,,,,Academia,,,2023-11-26 03:25,Robi Rahman,,,United States of America,Air Force Institute of Technology,,,,MLP as Bayesian Approximator,,,
DIABETES,Other,Medical diagnosis,"S. Andreassen, R. Hovorka, J. Benn, K. G. Olesen, and E. R. Carson",,,,https://link.springer.com/chapter/10.1007/978-3-642-48650-0_19,132.00,A Model-based Approach to Insulin Adjustment,1991-06-24,"Aalborg University,University of London",Academia,429409.00,From https://www.bnlearn.com/bnrepository/,,,,,,,,,,,,,,,,,Academia,,,2023-11-21 01:39,Robi Rahman,,,"Denmark,United Kingdom of Great Britain and Northern Ireland","Aalborg University, University of London",,,,,,,
SRN-Encoded Grammatical Structures,Language,,J. L. Elman,Highly cited,,,https://dl.acm.org/doi/10.1007/BF00114844,1717.00,"Distributed representations, simple recurrent networks, and grammatical structure",1991-09-01,UC San Diego,Academia,,,,,,,177805,4 training sets of 10k sentences each. Total number of words calculated by multiplying 10k and the avg. number of words per sentence in the training set.,,,,,,,,,,,Academia,,,2023-11-26 03:25,Robi Rahman,,,United States of America,UC San Diego,,,,SRN-Encoded Grammatical Structures,,,
REINFORCE in Stochastic Connectionism,,,R. J. Williams,Highly cited,,,https://dl.acm.org/doi/10.1007/BF00992696,7559.00,Simple statistical gradient-following algorithms for connectionist reinforcement learning,1992-05-01,Northeastern University,Academia,,,,,,,,,,,,,,,,,,,Academia,,,2023-12-05 04:33,Robi Rahman,,,United States of America,Northeastern University,,,,REINFORCE in Stochastic Connectionism,,,
TD-Gammon,Games,Backgammon,G Tesauro,Highly cited,,,https://papers.nips.cc/paper/1991/file/68ce199ec2c5517597ce0a4d89620f55-Paper.pdf,1344.00,Practical Issues in Temporal Difference Learning,1992-05-01,IBM,Industry,25000.00,"""The best performance was obtained with a network containing 80 hidden units and over 25,000 weights.""",18232157622832.70,Extracted from AI and Compute (https://openai.com/blog/ai-and-compute/) charts by using https://automeris.io/WebPlotDigitizer/.,,,6300000,"""This network was trained
for over 300,000 training games""

Each backgammon game has an avg of around 21 movements
https://www.bkgm.com/rgb/rgb.cgi?view+712",,,,,,,,,,,Industry,,,2023-11-26 03:25,Robi Rahman,,,Multinational,IBM,,,,TD-Gammon,,,
Fuzzy NN,Speech,Speech recognition,"SK Pal, S Mitra",Highly cited,,,https://ieeexplore.ieee.org/document/159058,1223.00,"Multilayer perceptron, fuzzy sets, and classification",1992-09-01,Indian Statistical Institute,Academia,1166.00,"Table II: ""he neural network has three hidden layers, with m hidden nodes in each layer"", m = 20, input dim. = 9, output dim. = 6",1403117760.00,1166 params * 2 FLOP/param * (3 for forward + backward pass) * 460 epochs * 436 examples,,,436,"""The above-mentioned algorithm was tested on a set of 871 Indian Telugu vowel sounds"" and 50% of the dataset was used. 871*0.5 ~= 436",,,,,,,,,,,Academia,,,2023-11-26 03:25,Robi Rahman,,,India,Indian Statistical Institute,,,,Fuzzy NN,,,
IBM-5,Language,Translation,"Peter F. Brown, Stephen A. Della Pietra, Vincent J. Della Pietra, Robert L. Mercer",Highly cited,,,https://dl.acm.org/doi/10.5555/972470.972474,5752.00,The Mathematics of Statistical Machine Translation: Parameter Estimation,1993-06-15,IBM,Industry,1658364.00,"The model is initiallized with 2.44E+09 translation probabilities, which are progressively culled until 1,658,364 remain. There are other parameters in the models (eg the fertility probabilities that relate each word in the input to the number of words it will align to) but the parameter count is dominated by the translation probabilities.",,,Proceedings of the Canadian parliament,,53358600,"""They used the algorithm to extract a large number of translations from several years of the proceedings of the Canadian parliament. From these translations, we have chosen as our training data those for which both the English sentence and the French sentence are 30 or fewer words in length. This is a collection of 1,778,620 translations.""",,,,,,,,,,,Industry,,,2023-11-26 03:25,Robi Rahman,,,Multinational,IBM,,,,IBM-5,,,
Markov-driven POS tagger,Language,Part-of-speech tagging,Bernard Merialdo,,,,https://dl.acm.org/doi/10.5555/972525.972526,788.00,Tagging English Text with a Probabilistic Model,1994-06-01,EURECOM,Academia,2447124.00,"""The total number of free parameters is then:
(Nw - 1).NT + (NT - 1).NT.NT.""
Where:
Nw= Vocabulary size
NT = Number of tags

""In the treebank 159 different tags are used. These tags were projected on a smaller system of 76 tags designed by Evelyne Tzoukermann and Peter Brown (see Appendix). The results quoted in this paper all refer to this smaller system""
So NT = 76

https://www.aclweb.org/anthology/J94-2001/

There is no direct reference to Nw, but the data is from ""Lexicon and grammar in probabilistic tagging of written English."" which says

""(the new CLAWS lexicón has almost 26,500 entries)""
So tentatively Nw=26500

https://dl.acm.org/doi/10.3115/982023.982049",,,,,1000000,"""We use the ""treebank"" data described in Beale (1988). It contains 42,186 sentences (about one million words) from the Associated Press.""
https://www.aclweb.org/anthology/J94-2001.pdf",,,,,,,,,,,Academia,,,2023-11-21 01:39,Robi Rahman,,,France,EURECOM,,,,,,,
GroupLens,Recommendation,,"Paul Resnick, Neophytos Iacovou, Mitesh Suchak, Peter Bergstrom, John Riedl",Highly cited,,,https://dl.acm.org/doi/10.1145/192844.192905,7733.00,GroupLens: an Open Architecture for Collaborative Filtering of Netnews,1994-10-22,Massachusetts Institute of Technology (MIT),Academia,,"For each pair of users, the system computes the correlation between their scores in the articles they have rated.

Then to make the prediction of a score for a given article and user the system computes a weighted average taking into account the correlations with each other user, the average rating of each user and the average rating of the article.

So the system in total has n+m+n*n ~= n*n parameters, where n is the number of users and m is the number of articles.

To address scaling issues, the system is partioned into clusters of users. It's very unclear what is the number of users per cluster, though the Daily ratings traffic table provided suggests that is around 10k users ",,,,,100000000,"For each pair of users, the system computes the correlation between their scores in the articles they have rated.

Then to make the prediction of a score for a given article and user the system computes a weighted average taking into account the correlations with each other user, the average rating of each user and the average rating of the article.

So the system in total has n+m+n*n ~= n*n parameters, where n is the number of users and m is the number of articles.

To address scaling issues, the system is partioned into clusters of users. It's very unclear what is the number of users per cluster, though the Daily ratings traffic table provided suggests that is around 10k users ",,,,,,,,,,,Academia,,,2023-11-26 03:25,Robi Rahman,,,United States of America,Massachusetts Institute of Technology (MIT),,,,GroupLens,,,
Multi-cause Binary Clustering,,,Eric Saund,,,,https://ieeexplore.ieee.org/document/6795568,176.00,A Multiple Cause Mixture Model for Unsupervised Learning,1995-01-01,Xerox,Industry,,,,,,,,,,,,,,,,,,,Industry,,,2023-11-21 01:39,Robi Rahman,,,United States of America,Xerox,,,,,,,
Iterative Bootstrapping WSD,Language,,D Yarowsky,Highly cited,,,https://dl.acm.org/doi/10.3115/981658.981684,2996.00,Unsupervised Word Sense Disambiguation Rivaling Supervised Methods,1995-06-26,University of Pennsylvania,Academia,,,,,,,460000000,the data were extracted from a 460 million word corpus,,,,,,,,,,,Academia,,,2023-11-26 03:25,Robi Rahman,,,United States of America,University of Pennsylvania,,,,Iterative Bootstrapping WSD,,,
Random Decision Forests,,,TK Ho,Highly cited,,,https://ieeexplore.ieee.org/document/598994,4678.00,Random decision forests,1995-08-14,"AT&T,Bell Laboratories",Industry,,,,,MNIST,,60000,The images are from the 1992 NIST (National Institute of Standards and Technology) Competition,,,,,,,,,,,Industry,,,2023-11-26 03:25,Robi Rahman,,,"United States of America,United States of America","AT&T, Bell Laboratories",,,,Random Decision Forests,,,
Support Vector Machines,Vision,Image Classification,"C Cortes, V Vapnik",Highly cited,,,https://link.springer.com/article/10.1007/BF00994018,48968.00,Support-Vector Networks,1995-09-01,"AT&T,Bell Laboratories",Industry,100000000.00,"Section 6.2.2: ""...polynomials
of degree 4 (that have more than 10^8 free parameters)...""
They used 4-degree polynomials for MNIST",,,MNIST,,60000,"Section 6.2: ""The large database consists of 60,000 training and 10,000 test patterns""",,,,,,,,,,,Industry,,,2023-11-26 03:25,Robi Rahman,,,"United States of America,United States of America","AT&T, Bell Laboratories",,,,Support Vector Machines,,,
System 11,Vision,Face detection,"HA Rowley, S Baluja, T Kanade",Highly cited,,,https://ieeexplore.ieee.org/document/655647,6011.00,Neural Network-Based Face Detection,1996-06-18,Carnegie Mellon University (CMU),Academia,6452.00,"System 11 is a combination of Network 1 and Network 2

Network 1 has 2095 connections and network 2 has 4357 connections (see table 1)",12930000000.00,"Since there is no parameter sharing, the forward compute is roughly twice that of the number of parameters. We use a 2:1 forward-backward ratio as this is a shallow network, with most connections in the first layer.

Number of passes (Section 2.1):
* ""Nearly 1,050 face examples were gathered from face databases [...]""
* ""Fifteen face examples are generated for the training set from each original image""

Training loop:
1. ""initial set of nonface images by generating 1,000 random images""
2. Train (presumably on whole set)
3. Run + collect false positives
4. ""Select up to 250 of these subimages [...] and add them into the training set [...] Go to step 2""

""A typical training run selects approximately 8,000 nonface images ""

Selecting 8,000 nonface images implies 8000/250 = 32 loops.

Assuming compute is 3 * N * D, we have
* Loop 1: D = 15*1050 + 1000
* Loop 2: D = 15*1050 + 1000 + 250
* So on.

Hence D overall is 32*(15*1050 + 1000) + 250*32/2*(32+1) = 668,000.

Hence compute = 3 * 6452 * 668e3 = 1.3e10.",,,9050,"""A typical training
run selects approximately 8000 non-face images from the
146,212,178 subimages that are available at all locations
and scales in the training scenery images.""

""Nearly 1050 face examples were gathered from face databases at CMU and Harvard [...] In the training set,15 face examples are generated from each
original image [...]""

""Create an initial set of non-face images by generating
1000 images with random pixel intensities""",,12904.00,The connections are linear so roughly twice the number of parameters,,,,,,,,Academia,,,2023-11-26 03:25,Robi Rahman,,,United States of America,Carnegie Mellon University (CMU),,,,System 11,,,
HMM Word Alignment,Language,Word alignment,"Stephan Vogel, Hermann Ney, Christoph Tillmann",Highly cited,,,https://dl.acm.org/doi/10.3115/993268.993313,1099.00,HMM-Based Word Alignment in Statistical Translation,1996-08-05,University of Erlangen - Nuremburg,Academia,,,,,,,442316,"[WORDS]
Table 1.
I take the sum of all words. Maybe it would be better to use only the sum of English or German words?",,,,,,,,Supervised,,,Academia,,,2023-11-26 03:25,Robi Rahman,,,Germany,University of Erlangen - Nuremburg,,,,HMM Word Alignment,,,
SVM for face detection,Vision,,"E. Osuna, R. Freund, F. Girosi",Highly cited,,,https://ieeexplore.ieee.org/document/609310,3851.00,Training Support Vector Machines: An Application to Face Detection,1997-06-17,Massachusetts Institute of Technology (MIT),Academia,,,,,,,50000,"Section 1: ""The problem that we have to solve involves training a classifier
to discriminate between face and non-face patterns, using a
data set of 50,000points. """,,,,,,,,,,,Academia,,,2023-11-26 03:25,Robi Rahman,,,United States of America,Massachusetts Institute of Technology (MIT),,,,SVM for face detection,,,
n-gram LM,Language,,"P Clarkson, R Rosenfeld",,,,https://www.semanticscholar.org/paper/Statistical-language-modeling-using-the-toolkit-Clarkson-Rosenfeld/fdf4aa623e4d5b5edaeb873ed8e8b1cef0b59c87,954.00,Statistical language modeling using the CMU-Cambridge toolkit,1997-07-01,"University of Cambridge,Carnegie Mellon University (CMU)",Academia,,,,,,,,,,,,,,,,Supervised,,,Academia,,,2023-11-21 01:39,Robi Rahman,,,"United Kingdom of Great Britain and Northern Ireland,United States of America","University of Cambridge, Carnegie Mellon University (CMU)",,,,,,,
